step,episode,reward,length
332822,357,-20.000000,943
333599,358,-21.000000,777
334507,359,-21.000000,908
335427,360,-20.000000,920
336360,361,-21.000000,933
337352,362,-20.000000,992
338339,363,-20.000000,987
339419,364,-20.000000,1080
340557,365,-20.000000,1138
341873,366,-17.000000,1316
342769,367,-20.000000,896
343948,368,-20.000000,1179
345281,369,-17.000000,1333
346162,370,-21.000000,881
347156,371,-20.000000,994
348354,372,-17.000000,1198
349449,373,-18.000000,1095
350290,374,-21.000000,841
351287,375,-19.000000,997
352368,376,-19.000000,1081
353523,377,-20.000000,1155
354471,378,-20.000000,948
355503,379,-21.000000,1032
356602,380,-19.000000,1099
357662,381,-19.000000,1060
358510,382,-21.000000,848
359469,383,-20.000000,959
360583,384,-19.000000,1114
361470,385,-21.000000,887
362329,386,-21.000000,859
363210,387,-21.000000,881
364467,388,-18.000000,1257
365596,389,-18.000000,1129
366759,390,-19.000000,1163
367720,391,-21.000000,961
368917,392,-19.000000,1197
369782,393,-20.000000,865
370779,394,-20.000000,997
371798,395,-20.000000,1019
372910,396,-19.000000,1112
374028,397,-19.000000,1118
374934,398,-21.000000,906
376148,399,-18.000000,1214
377133,400,-20.000000,985
378131,401,-21.000000,998
379042,402,-21.000000,911
380272,403,-19.000000,1230
381279,404,-20.000000,1007
382355,405,-20.000000,1076
383388,406,-20.000000,1033
384226,407,-21.000000,838
385229,408,-21.000000,1003
385990,409,-21.000000,761
387084,410,-20.000000,1094
388139,411,-20.000000,1055
389245,412,-18.000000,1106
390285,413,-18.000000,1040
391125,414,-21.000000,840
392187,415,-21.000000,1062
393256,416,-20.000000,1069
394833,417,-17.000000,1577
395870,418,-20.000000,1037
396656,419,-21.000000,786
397725,420,-19.000000,1069
398767,421,-21.000000,1042
399683,422,-20.000000,916
400674,423,-20.000000,991
401806,424,-20.000000,1132
402897,425,-20.000000,1091
404354,426,-17.000000,1457
405309,427,-20.000000,955
406132,428,-21.000000,823
407504,429,-16.000000,1372
408322,430,-21.000000,818
409372,431,-20.000000,1050
410386,432,-20.000000,1014
411780,433,-16.000000,1394
